Label,Primary Evidence Indexes,Secondary Evidence Indexes
Contradiction,"Outcome Measurement:    The Percentage of Patients Achieving Pathological Complete Response Defined as the Absence of Invasion Tumor Cells in the Breast and in Axillary Lymph Nodes, Regardless of Ductal Carcinoma in Situ (DCIS)   Subject who went through Neoadjuvant period completely (24 weeks), will receive surgery within 3-6 weeks after last treatment of neoadjuvant period.   The primary endpoint, Pathological complete response, will be assessed using resected bio-specimens collected in breast and axilla during a surgery.   Time frame: After Neo-adjuvant therapy and Surgery (up to 30 weeks) Results 1:    Arm/Group Title: CT-P6   Arm/Group Description: Patient received CT-P6 at an initial dose of 8 mg/kg administered by a single IV infusion on Day 1 of Cycle 1, followed by 6 mg/kg on Day 1 of Cycles 2 through 8 (3-week cycles). Patients also received docetaxel 75 mg/m^2 during cycles 1 through 4 and FEC (fluorouracil 500mg/m^2, epirubicin 75mg/m^2, and cyclophosphamide 500mg/m^2) during Cycles 5 through 8. After a total of 8 treatment cycles of the neoadjuvant treatment, surgery was performed within 3 to 6 weeks from the last dose of study.   Overall Number of Participants Analyzed: 248   Measure Type: Number   Unit of Measure: percentage of responders  46.77        (40.43 to 53.19) Results 2:    Arm/Group Title: Herceptin   Arm/Group Description: Patient received Herceptin at an initial dose of 8 mg/kg administered by a single IV infusion on Day 1 of Cycle 1, followed by 6 mg/kg on Day 1 of Cycles 2 through 8 (3-week cycles). Patients also received docetaxel 75 mg/m^2 during cycles 1 through 4 and FEC (fluorouracil 500mg/m^2, epirubicin 75mg/m^2, and cyclophosphamide 500mg/m^2) during Cycles 5 through 8. After a total of 8 treatment cycles of the neoadjuvant treatment, surgery was performed within 3 to 6 weeks from the last dose of study.   Overall Number of Participants Analyzed: 256   Measure Type: Number   Unit of Measure: percentage of responders  50.39        (44.10 to 56.68)",nan
Contradiction,Inclusion Criteria:   Patients with a diagnosis of invasive adenocarcinoma of the breast confirmed by histology or cytology at MSKCC.,"Exclusion Criteria:   Patients may not be receiving any concurrent anticancer therapy or investigational agents with the intention of treating breast cancer.   History of allergic reactions attributed to compounds of similar chemical or biologic composition to lapatinib or capecitabine.   Known DPD deficiency.   Uncontrolled inter-current illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, myocardial infarction within 6 months of study entry, uncontrolled cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements.   Pregnant women are excluded from this study because lapatinib is member of the 4- anilinoquinazoline class of kinase inhibitors with the potential for teratogenic or abortifacient effects. Because there is an unknown but potential risk for adverse events in nursing infants secondary to treatment of the mother with lapatinib, breastfeeding should be discontinued if the mother is treated with lapatinib.   HIV-positive patients receiving combination anti-retroviral therapy are excluded from the study because of possible pharmacokinetic interactions with lapatinib. Appropriate studies will be undertaken in patients receiving combination anti-retroviral therapy when indicated.   Patients with GI tract disease resulting in an inability to take oral medication, malabsorption syndrome, a requirement for IV alimentation, prior surgical procedures affecting absorption,uncontrolled inflammatory GI disease (e.g., Crohn's, ulcerative colitis).   Concomitant requirement for medication classified as CYP3A4 inducers or inhibitors:   Medications that inhibit or induce CYP3A4 are prohibited. Eligibility of patients receiving medications or substances known to affect, or with the potential to affect the activity or pharmacokinetics of lapatinib will be determined following review of their use by the Principal Investigator.   Renal function as measured by creatinine clearance < 30ml/min   Patients are permitted to participate in other non-therapeutic clinical trials while receiving treatment on this study (ie, experimental imaging, minor procedures necessary for tissue acquisition on study)"
Entailment,INTERVENTION 1:    Ginkgo Biloba   Ginkgo Biloba: Patients will take 120 mg per day (60 mg BID),nan
Contradiction,INTERVENTION 1:    Alpelisib + Letrozole   Participants took alpelisib 300 mg once daily plus letrozole 2.5 mg once daily.,nan
Contradiction,"Outcome Measurement:    Percentage of Participants With Progressive Disease at Week 12 in Cohort 1   The percentage of participants with progressive disease (PD) 12 weeks after randomization was measured. Per Response Evaluation Criteria In Solid Tumors (RECIST), a response of PD is defined as a >=20% increase in target lesions. Participants were also classified as having PD if their response at Week 12 was unknown or missing. Response was determined by an independent radiologist and by an investigator.   Time frame: Week 12 Results 1:    Arm/Group Title: Cohort 1: Lapatinib 1500 mg   Arm/Group Description: Lapatinib 1500 milligrams (mg) administered orally once a day   Overall Number of Participants Analyzed: 72   Measure Type: Number   Unit of Measure: percentage of participants  Independently Evaluated: 38.9   Investigator Evaluated: 43.1",nan
Entailment,"INTERVENTION 1:    Exemestane   Participants diagnosed with breast cancer who remained disease-free after previously receiving 2 to 3 years of tamoxifen 20 milligram (mg) or 30 mg tablet-in-capsule orally once daily as per standard medical practice, received exemestane (Aromasin) 25 mg tablet-in-capsule orally once daily for the remainder of 5-year period. INTERVENTION 2:    Tamoxifen   Participants diagnosed with breast cancer who remained disease-free after previously receiving 2 to 3 years of tamoxifen 20 mg or 30 mg tablet-in-capsule orally once daily as per standard medical practice, received the same dose of tamoxifen tablet-in-capsule orally once daily for the remainder of 5-year period.",nan
Contradiction,"INTERVENTION 1:    Placebo   Subjects will be randomly selected to receive saline (placebo), administered to the breast area to cover the intercostal nerves supplying the breast tissue during surgery.   Saline: If randomized to this arm, subjects will receive an intraoperative injection of saline. (2.5 mg/ml)","INTERVENTION 1:    Accelerated Intensity Modulated Radiation Therapy (AIMRT)   All patients shall receive a total of 40.5 Gy to the entire breast in 2.7 Gy/fraction x 15 fractions, Monday to Friday for 3 weeks delivered prone in uniform daily doses through IMRT tangent fields. A concurrent boost to the original tumor bed of 0.50 Gy will be delivered.   Accelerated intensity modulated radiation therapy (AIMRT)"
Entailment,"INTERVENTION 1:    Vorinostat   Women in the vorinostat group were scheduled to receive 6 doses of oral vorinostat at 300 mg twice daily (bid), with the last dose administered by study personnel approximately 2 hours before the scheduled breast surgery (or biopsy).","INTERVENTION 1:    Treatment (Chemotherapy With or Without Maintenance Therapy)   SYSTEMIC CHEMOTHERAPY: Patients receive cyclophosphamide IV over 1 hour and paclitaxel IV over 3 hours on day 1. Treatment repeats every 14 days for 6 courses in the absence of disease progression or unacceptable toxicity.   MAINTENANCE THERAPY (Her-2 neu positive patients): Patients receive trastuzumab IV over 30 minutes on day 1. Treatment repeats every 14 days for 5 courses and then every 21 days for 14 courses in the absence of disease progression or unacceptable toxicity.   cyclophosphamide, paclitaxel, trastuzumab: Given IV"
Contradiction,INTERVENTION 1:    Treatment Period 1   Participants received AZD9496 - Variant A (100 mg). INTERVENTION 2:    Treatment Period 2   Participants received AZD9496 - Reference (100 mg).,nan
Entailment,  Cardiovascular   No unstable angina pectoris,nan
Entailment,INTERVENTION 1:    Lapatinib Monotherapy   Lapatinib: 1500 mg (six 250 mg tablets) orally once daily,nan
Entailment,Adverse Events 1:   Total: 2/17 (11.76%)   Nausea * 1/17 (5.88%)   Pain - Abdomen NOS * 1/17 (5.88%)   Constipation * 1/17 (5.88%),Adverse Events 1:   Total: 19/51 (37.25%)   Febrile neutropenia 6/51 (11.76%)   Anaemia 1/51 (1.96%)   Leukopenia 1/51 (1.96%)   Neutropenia 1/51 (1.96%)   Thrombocytopenia 0/51 (0.00%)   Pericarditis 1/51 (1.96%)   Atrial flutter 0/51 (0.00%)   Cardiac failure congestive 0/51 (0.00%)   Visual impairment 0/51 (0.00%)   Dysphagia 1/51 (1.96%)   Abdominal pain 0/51 (0.00%)   Chills 1/51 (1.96%) Adverse Events 2:   Total: 17/50 (34.00%)   Febrile neutropenia 0/50 (0.00%)   Anaemia 1/50 (2.00%)   Leukopenia 0/50 (0.00%)   Neutropenia 1/50 (2.00%)   Thrombocytopenia 1/50 (2.00%)   Pericarditis 0/50 (0.00%)   Atrial flutter 1/50 (2.00%)   Cardiac failure congestive 1/50 (2.00%)   Visual impairment 1/50 (2.00%)   Dysphagia 0/50 (0.00%)   Abdominal pain 1/50 (2.00%)   Chills 0/50 (0.00%)
Contradiction,Adverse Events 1:   Total: 29/110 (26.36%)   Atrial fibrillation 1/110 (0.91%)   Nausea 2/110 (1.82%)   Abdominal pain 1/110 (0.91%)   Abdominal pain upper 1/110 (0.91%)   Constipation 1/110 (0.91%)   Pancreatitis 1/110 (0.91%)   Vomiting 1/110 (0.91%)   Pyrexia 3/110 (2.73%)   Axillary pain 2/110 (1.82%)   Chest pain 1/110 (0.91%)   Influenza like illness 1/110 (0.91%),nan
Contradiction,"Outcome Measurement:    Number of Participants (Par.) With Any Recurrence of the Initial Disease, Second Primary Cancer, Contralateral Breast Cancer, or Death (Disease-free Survival [DFS])   DFS=interval between the date of randomization and the date of the first occurrence of an objective disease recurrence, a second primary cancer, or death from any cause. The date of the event is the earliest date of the occurrence of any of the following: local recurrence (LR) following mastectomy; LR in ipsilateral breast following lumpectomy; regional recurrence; distant recurrence; contralateral breast cancer, including ductal carcinoma in situ; other second primary cancer (excluding squamous or basal cell carcinoma of the skin, melanoma in situ, carcinoma in situ of the cervix, or lobular carcinoma in situ of the breast); death from any cause without a prior event. Par. who started additional anti-cancer adjuvant therapy prior to the recurrence of their disease were to be censored. Par. who did not withdraw from the study and did not experience a specified event or death were to be censored (follow-up ongoing) at the last visit date available at which progression was assessed.   Time frame: From randomization until date of the first occurrence of an objective disease recurrence, a second primary cancer, or death from any cause (assessed up to 6 years; 1 year of treatment, 5 years of follow-up [median of 5.3 years for final analysis]) Results 1:    Arm/Group Title: Lapatinib 1500 mg   Arm/Group Description: Participants received lapatinib 1500 milligrams (mg) orally once daily. Treatment was continued for a maximum of 12 months or until disease recurrence or development of a second primary cancer, withdrawal from study treatment due to unacceptable toxicity, or consent withdrawal.   Overall Number of Participants Analyzed: 1571   Measure Type: Number   Unit of Measure: Participants  Any recurrence or death: 252   Censored, New Anti-cancer Agent/Radiotherapy: 1   Censored, Follow-up Ended: 1318 Results 2:    Arm/Group Title: Placebo   Arm/Group Description: Participants received matching placebo orally once daily. Treatment was continued for a maximum of 12 months or until disease recurrence or development of a second primary cancer, withdrawal from study treatment due to unacceptable toxicity, or consent withdrawal.   Overall Number of Participants Analyzed: 1576   Measure Type: Number   Unit of Measure: Participants  Any recurrence or death: 290   Censored, New Anti-cancer Agent/Radiotherapy: 1   Censored, Follow-up Ended: 1285",nan
Contradiction,"INTERVENTION 1:    6-Mercaptopurine and Methotrexate (6MP/MTX)   6-Mercaptopurine: 6MP 75mg/m2 body surface area, administered orally (PO) once a day (od) in the morning 1 hour after eating, on a continuous schedule. One cycle is 28 days. Treatment is given continuously until disease progression.   Methotrexate: Methotrexate 20mg/m2 will be taken orally, once a week, in the morning. One cycle is 28 days. Treatment is given continuously until disease progression.   Update: These original doses were reduced following an Urgent Safety Measure in August 2012 due to a large proportion of patients requiring a dose reduction or treatment delay due to incidences of myelo-suppression.   The reduced doses were 55mg/m2 of 6MP orally once a day, and 15mg/m2 of Methotrexate orally once a week.",nan
Contradiction,INTERVENTION 1:    Zr89-trastuzumab PET/CT   Zr89-trastuzumab (trastuzumab labelled with zirconium 89) for PET/CT single arm,"INTERVENTION 1:    Trastuzumab/Ixabepilone/Carboplatin   During the induction phase, patients were treated with Ixabepilone (BMS-247550) 15mg/m2 intravenously (IV) followed by carboplatin (AUC=2 IV) on days 1, 8 and 15 of a 28-day cycle for a maximum of 6 cycles. Trastuzumab was administered weekly (4mg/kg loading dose then 2mg/kg IV) starting on day 1. Routine premedication included H1 blocker (diphenhydramine 50 mg orally (PO) or IV), H2 blocker (ranitidine 150 mg PO or 50 mg IV or another equivalent H2 blocker), and at least a 5-HT3 antagonist and dexamethasone.   After completion of 24 weekly trastuzumab doses (induction therapy), trastuzumab were given at a dose of 6 mg/kg IV every 3 weeks (maintenance therapy) beginning one week after the 24th weekly dose. Trastuzumab were repeated every 21 days until disease progression or prohibitive toxicity."
Entailment,INTERVENTION 1:    Definity Infusion   Infusion of Definity (Perflutren Lipid Microspheres)   Definity infusion: 3 ml of Perflutren Lipid Microspheres (Definity) mixed in 50 ml of saline is infused at a rate of approximately 4ml/min,"INTERVENTION 1:    Meso BioMatrix Acellular Peritoneum Matrix   All subjects had the Meso BioMatrix Acellular Peritoneum Matrix implanted along with a tissue expander during the first stage of breast reconstruction. After tissue expansion, the tissue expander was replaced with a breast implant during the second stage of reconstruction."
Contradiction,Adverse Events 1:   Total: 13/34 (38.24%)   Anemia 3/34 (8.82%)   Diarrhea 7/34 (20.59%)   Nausea 2/34 (5.88%)   Sepsis 1/34 (2.94%)   Urinary tract infection 1/34 (2.94%)   Alkaline phosphatase increased 1/34 (2.94%)   Neutrophil count decreased 2/34 (5.88%)   Dehydration 1/34 (2.94%)   Headache 1/34 (2.94%)   Thromboembolic event 1/34 (2.94%),nan
Entailment,INTERVENTION 1:    Intervention   Text message management prompts: YBCS will receive text message prompts on how to manage hot flashes and vaginal dryness   Text message management prompts INTERVENTION 2:    Control   Control YBCS will not receive text message prompts on managing hot flashes and vaginal dryness,"INTERVENTION 1:    Arm I (Web-Based CPM-DA)   Patients receive a website address, a secure username and password, and instructions for using the web-based CPM-DA.   Internet-Based Intervention: Receive web-based CPM-DA   Survey Administration: Ancillary studies INTERVENTION 2:    Arm II (Usual Care)   Patients undergo usual care available to patients considering CPM and receive information from a medical oncologist about CPM.   Survey Administration: Ancillary studies"
Contradiction,Adverse Events 1:   Hepatic function abnormal * 1/109 (0.92%) Adverse Events 2:   Hepatic function abnormal * 0/110 (0.00%),nan
Entailment,"INCLUSION CRITERIA   Premenopausal, defined as any of:   If tamoxifen administered within the past 3 months, plasma estradiol must be in the premenopausal range",nan
Contradiction,INTERVENTION 1:    Exercise   an acute bout of exercise performed 24 hours prior to each cycle of anthracyclines and no exercise for 48 hours post exercise INTERVENTION 2:    Usual Care   no exercise for 72 hours prior or 48 hours post each cycle of anthracyclines,nan
Contradiction,Adverse Events 1:   Total: 81/353 (22.95%)   Febrile neutropenia * 13/353 (3.68%)   Anaemia * 21/353 (0.28%)   Neutropenia * 25/353 (1.42%)   Thrombocytopenia * 20/353 (0.00%)   Hypercoagulation * 21/353 (0.28%)   Leukopenia * 21/353 (0.28%)   Atrial fibrillation * 1/353 (0.28%)   Cardiac failure * 0/353 (0.00%)   Cardiac failure congestive * 0/353 (0.00%)   Myocardial infarction * 1/353 (0.28%),nan
Entailment,Inclusion Criteria:   Female subjects participating in FMSU004A protocol with known clinical status Exclusion Criteria:   Subjects with unknown clinical status not participating in FMSU004A protocol.,Inclusion Criteria:   No prior chemotherapy for breast cancer
Contradiction,"Inclusion Criteria:   Prior exposure to taxane in the adjuvant, neoadjuvant or metastatic setting",nan
Contradiction,Adverse Events 1:   Total: 19/70 (27.14%)   Febrile Neutropenia 24/70 (5.71%)   Pericarditis 21/70 (1.43%)   Sinus bradycardia 21/70 (1.43%)   Abdominal Pain 2/70 (2.86%)   Diarrhea 21/70 (1.43%)   Lower gastrointestinal hemorrhage 21/70 (1.43%)   Nausea 21/70 (1.43%)   Non Cardiac-Chest pain 22/70 (2.86%)   Fever 24/70 (5.71%)   Skin infection 41/70 (1.43%)   Neutrophil count decreased 31/70 (1.43%),nan
